"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"166",1e+06,0.00330201342281879,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.5,NA,NA,7.72
"167",22.7,0.00334228187919463,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.47,NA,NA,0.69
"168",1e+06,0.00334228187919463,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.47,NA,NA,7.72
"169",22.7,0.00338255033557047,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.44,NA,NA,0.69
"170",1e+06,0.00338255033557047,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.44,NA,NA,7.72
"171",22.7,0.00342281879194631,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.41,NA,NA,0.69
"172",1e+06,0.00342281879194631,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.41,NA,NA,7.72
"173",22.7,0.00346308724832215,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.37,NA,NA,0.69
"174",1e+06,0.00346308724832215,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.37,NA,NA,7.72
"175",22.7,0.00350335570469799,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.34,NA,NA,0.69
"176",1e+06,0.00350335570469799,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.34,NA,NA,7.72
"177",22.7,0.00354362416107383,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.31,NA,NA,0.69
"178",1e+06,0.00354362416107383,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.31,NA,NA,7.72
"179",22.7,0.00358389261744966,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.28,NA,NA,0.69
"180",1e+06,0.00358389261744966,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.28,NA,NA,7.72
"181",22.7,0.0036241610738255,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,159.25,NA,NA,0.69
